timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-10T20:55:31+02:00,HQQ,90,109,144,2026-06-10T20:55:36+02:00,-31.75
2026-06-10T21:00:32+02:00,QHQ,152,37,1,2026-06-10T21:00:37+02:00,-21.2794
2026-06-10T21:05:28+02:00,HQQ,144,130,144,2026-06-10T21:05:33+02:00,-30.1191
2026-06-10T21:10:43+02:00,QHQ,139,31,1,2026-06-10T21:10:48+02:00,-29.15
2026-06-10T21:15:32+02:00,HQQ,150,36,0,2026-06-10T21:15:37+02:00,-21.8206
2026-06-10T21:20:33+02:00,QHQ,154,151,120,2026-06-10T21:20:38+02:00,-31.3551
2026-06-10T21:25:26+02:00,HQQ,24,69,119,2026-06-10T21:25:31+02:00,-30.5287
2026-06-10T21:30:26+02:00,QHQ,17,75,102,2026-06-10T21:30:31+02:00,-29.1607
2026-06-10T21:35:35+02:00,HQQ,148,34,0,2026-06-10T21:35:40+02:00,-22.8985
2026-06-10T21:40:29+02:00,QHQ,75,120,106,2026-06-10T21:40:34+02:00,-27.1897
2026-06-10T21:45:29+02:00,HQQ,126,20,18,2026-06-10T21:45:34+02:00,-29.6389
2026-06-10T21:50:44+02:00,QHQ,154,134,142,2026-06-10T21:50:49+02:00,-28.6962
2026-06-10T21:55:31+02:00,HQQ,97,107,143,2026-06-10T21:55:36+02:00,-28.4052
2026-06-10T22:00:39+02:00,QHQ,64,1,26,2026-06-10T22:00:44+02:00,-29.9424
2026-06-10T22:05:25+02:00,HQQ,88,123,102,2026-06-10T22:05:30+02:00,-29.8597
2026-06-10T22:10:27+02:00,QHQ,77,118,104,2026-06-10T22:10:32+02:00,-30.007
2026-06-10T22:15:36+02:00,HQQ,76,4,12,2026-06-10T22:15:41+02:00,-30.8288
2026-06-10T22:20:36+02:00,QHQ,154,152,112,2026-06-10T22:20:41+02:00,-29.7663
2026-06-10T22:25:35+02:00,HQQ,154,28,35,2026-06-10T22:25:40+02:00,-27.1626
2026-06-10T22:30:34+02:00,QHQ,7,29,112,2026-06-10T22:30:39+02:00,-23.6747
2026-06-10T22:35:24+02:00,HQQ,57,102,104,2026-06-10T22:35:29+02:00,-30.5397
2026-06-10T22:40:26+02:00,QHQ,30,66,112,2026-06-10T22:40:31+02:00,-32.4618
2026-06-10T22:45:32+02:00,HQQ,84,5,7,2026-06-10T22:45:37+02:00,-23.5185
2026-06-10T22:50:28+02:00,QHQ,16,71,91,2026-06-10T22:50:33+02:00,-30.1091
2026-06-10T22:55:37+02:00,HQQ,30,0,66,2026-06-10T22:55:42+02:00,-21.43
2026-06-10T23:00:37+02:00,QHQ,129,20,1,2026-06-10T23:00:42+02:00,-26.0107
2026-06-10T23:05:29+02:00,HQQ,136,19,12,2026-06-10T23:05:34+02:00,-29.2337
2026-06-10T23:10:42+02:00,QHQ,154,153,104,2026-06-10T23:10:47+02:00,-30.0594
2026-06-10T23:15:45+02:00,HQQ,154,24,29,2026-06-10T23:15:50+02:00,-30.6933
