arm_order,count,mean,median,std,min,max
HQQ,247,-28.42425101214575,-29.1154,3.0408304345651094,-33.2651,-14.1223
QHQ,249,-27.393230120481928,-27.9382,3.103559437074149,-32.82,-14.7358
